Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,No,Travel_Frequently,811,Human Resources,24,4,Human Resources,1,42,3,Female,136.0,1,4,Sales Executive,3,Divorced,17699.0,194689.0,2,Y,No,8.0,1.0,2,80,1,30,3.0,2.0,3,1,3,1
24,No,Travel_Frequently,1216,Sales,29,4,Marketing,1,3784,3,Male,132.0,4,1,Sales Executive,2,Married,12834.0,166842.0,3,Y,No,34.0,2.0,2,80,2,23,2.0,1.0,17,12,2,5
60,No,Travel_Rarely,1019,Hardware,31,1,Life Sciences,1,3005,3,Female,65.0,1,1,Healthcare Representative,4,Divorced,44445.0,622230.0,6,Y,Yes,22.0,3.0,2,80,4,9,1.0,3.0,2,2,1,2
54,Yes,Travel_Frequently,501,Human Resources,19,5,Medical,1,2527,4,Male,104.0,2,5,Research Director,1,Married,7215.0,165945.0,5,Y,No,35.0,3.0,1,80,3,36,2.0,3.0,16,8,16,16
36,No,Non-Travel,203,Hardware,26,1,Marketing,1,2358,3,Male,74.0,1,5,Healthcare Representative,1,Divorced,4318.0,12954.0,5,Y,Yes,17.0,3.0,2,80,2,14,6.0,1.0,5,3,5,4
43,Yes,Non-Travel,860,Research & Development,45,5,Other,1,2321,2,Male,149.0,4,5,Laboratory Technician,4,Divorced,40477.0,688109.0,6,Y,Yes,20.0,4.0,4,80,3,23,2.0,1.0,2,1,2,2
50,Yes,Travel_Rarely,239,Hardware,50,2,Life Sciences,1,9894,3,Female,173.0,2,1,Healthcare Representative,2,Single,37218.0,260526.0,8,Y,No,36.0,2.0,1,80,2,29,5.0,1.0,21,16,18,5
40,Yes,Travel_Rarely,239,Software,18,5,Marketing,1,3653,4,Female,114.0,2,1,Laboratory Technician,4,Single,35252.0,599284.0,3,Y,Yes,37.0,3.0,1,80,3,23,1.0,2.0,18,7,16,4
29,Yes,Travel_Rarely,1143,Hardware,36,4,Technical Degree,1,2601,3,Female,90.0,1,3,Sales Executive,1,Divorced,8059.0,185357.0,8,Y,No,34.0,4.0,4,80,2,33,5.0,3.0,1,1,1,1
23,Yes,Travel_Rarely,1113,Support,48,1,Life Sciences,1,6266,2,Male,129.0,3,4,Manager,2,Married,49253.0,1428337.0,1,Y,Yes,16.0,4.0,4,80,4,33,5.0,4.0,21,5,19,19
23,No,Non-Travel,1011,Hardware,7,3,Human Resources,1,2873,3,Female,133.0,4,1,Manager,2,Divorced,33345.0,700245.0,6,Y,No,27.0,4.0,2,80,2,1,4.0,4.0,1,1,1,1
56,No,Non-Travel,574,Research & Development,49,1,Human Resources,1,8599,3,Male,178.0,1,4,Research Scientist,4,Single,15294.0,259998.0,8,Y,Yes,49.0,1.0,1,80,3,9,2.0,4.0,8,8,3,5
57,No,Non-Travel,1355,Hardware,34,2,Technical Degree,1,9909,4,Female,164.0,4,4,Human Resources,2,Married,41947.0,671152.0,2,Y,No,20.0,4.0,1,80,2,12,6.0,4.0,4,4,1,3
57,Yes,Travel_Rarely,235,Hardware,30,3,Human Resources,1,4196,1,Male,146.0,2,3,Developer,4,Divorced,19979.0,519454.0,6,Y,No,38.0,1.0,2,80,4,38,5.0,3.0,4,4,4,3
45,No,Travel_Rarely,329,Research & Development,14,3,Human Resources,1,285,2,Male,191.0,1,2,Sales Executive,2,Single,43681.0,393129.0,0,Y,Yes,15.0,1.0,1,80,1,19,3.0,2.0,17,15,2,9
24,Yes,Travel_Frequently,561,Human Resources,30,4,Medical,1,226,3,Male,89.0,1,2,Manufacturing Director,3,Divorced,9151.0,201322.0,1,Y,No,14.0,4.0,4,80,3,24,1.0,4.0,13,9,8,8
35,Yes,Travel_Rarely,1328,Research & Development,46,1,Medical,1,4404,4,Male,104.0,3,2,Research Scientist,4,Married,23476.0,352140.0,2,Y,No,49.0,4.0,4,80,3,11,6.0,1.0,3,1,1,2
22,No,Non-Travel,305,Software,41,5,Medical,1,9514,2,Male,194.0,3,2,Research Scientist,3,Married,9827.0,117924.0,5,Y,No,17.0,4.0,2,80,1,30,3.0,1.0,3,2,1,1
41,Yes,Non-Travel,918,Software,16,3,Marketing,1,6918,3,Female,100.0,4,2,Sales Executive,3,Divorced,2967.0,53406.0,7,Y,No,21.0,2.0,4,80,1,38,3.0,4.0,25,9,22,16
19,Yes,Travel_Rarely,1406,Software,24,4,Technical Degree,1,619,4,Female,143.0,2,2,Healthcare Representative,3,Single,10727.0,268175.0,8,Y,No,29.0,1.0,1,80,1,19,2.0,2.0,2,2,2,1
37,No,Travel_Frequently,906,Research & Development,9,4,Life Sciences,1,8894,3,Male,30.0,3,5,Research Director,4,Divorced,17557.0,438925.0,3,Y,No,44.0,3.0,4,80,2,27,4.0,1.0,15,3,4,3
44,No,Non-Travel,975,Research & Development,48,2,Technical Degree,1,7729,3,Female,147.0,1,4,Manufacturing Director,3,Divorced,19437.0,233244.0,4,Y,No,47.0,2.0,3,80,1,27,6.0,1.0,23,6,10,12
55,No,Travel_Frequently,1167,Sales,36,1,Marketing,1,2598,4,Female,159.0,3,5,Manager,1,Married,37249.0,558735.0,3,Y,No,46.0,3.0,4,80,3,4,2.0,2.0,4,4,2,4
49,Yes,Travel_Frequently,848,Human Resources,28,3,Technical Degree,1,2400,3,Male,117.0,3,4,Laboratory Technician,4,Single,47829.0,1339212.0,6,Y,No,5.0,4.0,2,80,4,14,3.0,4.0,7,4,7,1
55,No,Travel_Rarely,1406,Software,29,3,Life Sciences,1,3549,2,Female,131.0,1,5,Manager,1,Single,3072.0,33792.0,8,Y,Yes,30.0,1.0,1,80,3,14,1.0,4.0,8,6,8,6
20,No,Non-Travel,1315,Software,36,4,Medical,1,4508,2,Female,180.0,1,2,Developer,2,Single,16258.0,292644.0,4,Y,Yes,21.0,3.0,4,80,4,2,1.0,2.0,1,1,1,1
42,No,Non-Travel,108,Research & Development,29,1,Technical Degree,1,4540,3,Female,198.0,1,5,Sales Representative,4,Single,1316.0,32900.0,7,Y,Yes,15.0,3.0,3,80,3,14,5.0,4.0,3,1,3,1
54,No,Non-Travel,775,Software,44,4,Other,1,5278,1,Male,91.0,3,4,Research Director,1,Divorced,29280.0,87840.0,4,Y,Yes,17.0,1.0,3,80,4,5,4.0,2.0,4,4,3,2
22,No,Travel_Frequently,356,Research & Development,29,4,Life Sciences,1,1823,3,Male,126.0,1,4,Sales Executive,2,Single,44712.0,178848.0,5,Y,Yes,18.0,4.0,1,80,4,23,2.0,3.0,14,13,14,2
18,Yes,Non-Travel,1386,Hardware,16,3,Life Sciences,1,40,3,Female,125.0,4,1,Manufacturing Director,1,Divorced,23082.0,692460.0,1,Y,No,18.0,3.0,3,80,2,29,6.0,2.0,4,3,4,3
24,Yes,Travel_Rarely,854,Hardware,41,5,Medical,1,9726,2,Female,39.0,2,5,Research Director,1,Divorced,10958.0,164370.0,3,Y,Yes,28.0,2.0,2,80,1,40,5.0,1.0,23,15,7,20
27,No,Non-Travel,1495,Support,13,3,Technical Degree,1,5404,3,Male,176.0,3,5,Sales Executive,4,Divorced,39522.0,316176.0,2,Y,Yes,26.0,4.0,2,80,1,22,6.0,1.0,10,9,10,2
48,No,Travel_Frequently,942,Human Resources,49,2,Other,1,8442,1,Male,105.0,2,2,Laboratory Technician,3,Single,40821.0,163284.0,4,Y,Yes,13.0,1.0,4,80,1,20,1.0,3.0,14,11,6,11
33,No,Non-Travel,1240,Sales,10,5,Life Sciences,1,9935,2,Female,80.0,4,4,Manager,4,Divorced,2896.0,8688.0,3,Y,Yes,29.0,4.0,2,80,1,25,3.0,4.0,10,3,8,2
19,Yes,Travel_Frequently,669,Software,39,1,Technical Degree,1,5819,1,Male,130.0,4,3,Manufacturing Director,1,Divorced,19827.0,337059.0,8,Y,Yes,3.0,2.0,1,80,2,34,6.0,3.0,23,14,2,8
45,Yes,Non-Travel,460,Hardware,50,2,Technical Degree,1,911,2,Male,101.0,3,5,Manufacturing Director,2,Divorced,42205.0,759690.0,3,Y,No,35.0,1.0,3,80,2,3,4.0,1.0,3,3,2,1
49,Yes,Travel_Frequently,1259,Support,14,3,Medical,1,1594,2,Male,46.0,3,1,Developer,3,Divorced,13404.0,93828.0,8,Y,Yes,17.0,1.0,1,80,4,16,5.0,3.0,14,14,6,7
50,Yes,Non-Travel,1088,Support,47,4,Life Sciences,1,9202,3,Female,65.0,3,4,Manager,3,Married,1219.0,21942.0,4,Y,Yes,44.0,3.0,2,80,1,26,4.0,4.0,14,12,9,2
23,Yes,Travel_Frequently,615,Hardware,5,1,Other,1,1649,1,Male,139.0,2,1,Sales Executive,2,Divorced,16805.0,50415.0,7,Y,No,2.0,1.0,3,80,1,23,4.0,3.0,23,4,21,16
36,Yes,Non-Travel,555,Research & Development,3,2,Medical,1,9852,4,Female,200.0,4,3,Research Scientist,2,Divorced,30219.0,90657.0,0,Y,Yes,19.0,2.0,1,80,3,39,6.0,4.0,10,2,1,2
36,No,Non-Travel,1203,Software,1,1,Marketing,1,7169,1,Female,65.0,2,1,Manager,1,Single,14903.0,104321.0,3,Y,No,48.0,4.0,3,80,4,12,2.0,3.0,1,1,1,1
41,No,Non-Travel,692,Human Resources,1,4,Life Sciences,1,2029,1,Female,91.0,1,4,Research Director,3,Married,45344.0,226720.0,4,Y,Yes,24.0,4.0,2,80,1,18,1.0,4.0,1,1,1,1
37,No,Non-Travel,1239,Sales,14,1,Other,1,8425,3,Female,61.0,3,4,Laboratory Technician,3,Divorced,28205.0,817945.0,1,Y,No,1.0,4.0,3,80,1,13,2.0,1.0,13,7,5,12
59,No,Travel_Rarely,1032,Software,26,5,Life Sciences,1,1467,1,Male,115.0,3,2,Manufacturing Director,3,Married,46985.0,516835.0,0,Y,No,6.0,4.0,2,80,3,28,3.0,3.0,21,3,5,9
41,Yes,Travel_Rarely,651,Human Resources,13,4,Other,1,3783,1,Female,151.0,4,4,Developer,4,Single,24121.0,554783.0,0,Y,No,1.0,1.0,1,80,4,8,3.0,1.0,5,5,2,5
36,Yes,Travel_Rarely,1480,Support,27,2,Medical,1,7011,4,Female,43.0,1,1,Laboratory Technician,1,Single,36792.0,772632.0,4,Y,No,36.0,4.0,4,80,3,32,1.0,4.0,4,2,1,3
41,Yes,Non-Travel,129,Software,21,3,Medical,1,3902,3,Female,129.0,2,4,Sales Representative,3,Single,10324.0,154860.0,5,Y,Yes,0.0,4.0,1,80,3,10,6.0,2.0,1,1,1,1
30,Yes,Travel_Frequently,1337,Research & Development,42,4,Life Sciences,1,5479,3,Female,95.0,4,1,Research Director,3,Married,35292.0,776424.0,2,Y,Yes,42.0,1.0,3,80,3,8,1.0,2.0,1,1,1,1
53,No,Travel_Frequently,1435,Sales,50,5,Marketing,1,1204,3,Female,59.0,2,4,Research Scientist,1,Married,29186.0,642092.0,8,Y,Yes,32.0,1.0,3,80,1,15,3.0,1.0,15,2,2,3
48,Yes,Travel_Rarely,955,Support,19,3,Technical Degree,1,1423,2,Male,94.0,3,3,Laboratory Technician,4,Single,50046.0,300276.0,2,Y,No,14.0,1.0,2,80,4,31,3.0,4.0,13,7,2,10
52,Yes,Travel_Rarely,263,Hardware,24,2,Life Sciences,1,4697,1,Female,129.0,3,5,Research Director,2,Divorced,14497.0,347928.0,4,Y,Yes,38.0,1.0,3,80,2,4,5.0,1.0,3,2,1,3
23,Yes,Travel_Rarely,750,Software,42,5,Technical Degree,1,6093,3,Male,89.0,2,1,Healthcare Representative,1,Divorced,12985.0,64925.0,2,Y,No,12.0,3.0,1,80,1,38,4.0,3.0,11,5,1,8
21,Yes,Travel_Frequently,1434,Research & Development,4,4,Medical,1,7221,1,Male,34.0,3,1,Sales Representative,1,Divorced,3163.0,18978.0,3,Y,Yes,49.0,1.0,3,80,2,33,6.0,1.0,1,1,1,1
48,No,Travel_Rarely,483,Hardware,20,1,Life Sciences,1,193,3,Male,108.0,2,2,Sales Representative,3,Single,13322.0,106576.0,3,Y,No,36.0,4.0,1,80,1,1,4.0,4.0,1,1,1,1
33,No,Non-Travel,696,Support,45,2,Medical,1,9912,4,Female,59.0,2,4,Human Resources,3,Married,48527.0,1261702.0,3,Y,No,33.0,1.0,1,80,3,23,2.0,2.0,14,3,1,2
59,Yes,Travel_Frequently,137,Hardware,36,4,Other,1,1095,1,Female,76.0,4,2,Laboratory Technician,3,Single,7136.0,121312.0,4,Y,Yes,33.0,3.0,3,80,4,26,6.0,1.0,13,6,4,3
57,Yes,Travel_Frequently,1464,Research & Development,45,3,Marketing,1,1526,3,Male,96.0,1,5,Human Resources,4,Divorced,2476.0,2476.0,2,Y,No,25.0,2.0,2,80,4,16,5.0,3.0,7,1,4,4
56,No,Non-Travel,146,Research & Development,38,1,Life Sciences,1,2401,2,Male,109.0,3,5,Manufacturing Director,4,Single,39076.0,898748.0,7,Y,Yes,29.0,4.0,1,80,4,23,4.0,3.0,22,5,16,1
57,Yes,Non-Travel,1231,Research & Development,7,1,Other,1,3957,2,Male,108.0,1,5,Healthcare Representative,4,Married,48649.0,1021629.0,1,Y,Yes,5.0,3.0,1,80,3,35,3.0,4.0,22,1,19,21
59,Yes,Travel_Frequently,460,Sales,22,3,Technical Degree,1,1124,3,Male,111.0,3,3,Developer,2,Single,7391.0,177384.0,3,Y,No,6.0,1.0,2,80,2,23,1.0,1.0,6,3,5,5
29,No,Travel_Rarely,612,Hardware,7,5,Life Sciences,1,7850,2,Male,69.0,4,1,Manager,3,Divorced,50692.0,1470068.0,6,Y,No,16.0,1.0,1,80,1,24,1.0,1.0,13,13,4,6
41,Yes,Travel_Rarely,793,Research & Development,12,3,Marketing,1,4642,2,Male,172.0,4,5,Sales Executive,3,Single,20916.0,585648.0,8,Y,Yes,29.0,3.0,3,80,4,15,3.0,1.0,2,1,2,2
21,No,Travel_Rarely,1482,Research & Development,6,4,Marketing,1,6274,3,Female,71.0,3,1,Manufacturing Director,2,Divorced,1496.0,7480.0,8,Y,No,16.0,2.0,1,80,1,33,2.0,2.0,3,1,2,2
36,No,Travel_Rarely,1355,Software,2,1,Marketing,1,283,4,Male,131.0,4,4,Manufacturing Director,4,Married,30336.0,515712.0,8,Y,No,34.0,3.0,2,80,3,15,3.0,3.0,15,8,13,1
53,Yes,Travel_Frequently,197,Support,41,2,Human Resources,1,9063,2,Female,53.0,2,3,Research Director,2,Single,41989.0,1217681.0,5,Y,Yes,40.0,2.0,3,80,3,10,4.0,4.0,5,5,3,2
42,No,Travel_Rarely,284,Hardware,26,4,Other,1,8459,2,Female,154.0,2,4,Laboratory Technician,4,Divorced,6055.0,139265.0,1,Y,No,18.0,4.0,4,80,2,31,1.0,2.0,30,25,27,2
55,No,Travel_Frequently,1370,Sales,40,1,Technical Degree,1,3912,3,Male,83.0,3,5,Developer,2,Divorced,50840.0,1372680.0,6,Y,Yes,5.0,1.0,2,80,2,17,1.0,4.0,12,1,4,3
21,No,Travel_Rarely,360,Support,6,1,Other,1,2522,2,Male,47.0,2,1,Sales Representative,1,Single,32288.0,548896.0,4,Y,Yes,18.0,2.0,2,80,4,38,4.0,1.0,29,28,14,19
32,No,Non-Travel,145,Hardware,49,1,Other,1,9885,1,Male,71.0,4,1,Research Scientist,1,Married,33022.0,264176.0,1,Y,No,22.0,3.0,3,80,4,22,5.0,4.0,17,11,13,2
39,No,Travel_Frequently,810,Research & Development,50,1,Other,1,5589,3,Female,101.0,2,5,Manufacturing Director,2,Married,12374.0,49496.0,0,Y,No,6.0,1.0,4,80,1,30,6.0,2.0,13,5,9,4
43,Yes,Non-Travel,322,Hardware,5,3,Technical Degree,1,3648,3,Female,80.0,1,2,Manufacturing Director,1,Married,49404.0,1482120.0,8,Y,No,44.0,3.0,4,80,1,31,4.0,4.0,15,10,15,14
35,No,Travel_Frequently,1353,Hardware,39,2,Life Sciences,1,7131,3,Male,122.0,3,5,Healthcare Representative,1,Divorced,30947.0,309470.0,1,Y,No,25.0,1.0,4,80,1,26,6.0,2.0,10,2,1,6
48,Yes,Travel_Rarely,625,Research & Development,14,1,Medical,1,2303,2,Male,147.0,1,3,Developer,3,Divorced,19104.0,152832.0,4,Y,No,19.0,2.0,3,80,1,24,2.0,1.0,14,1,5,7
60,No,Travel_Rarely,1201,Software,41,4,Marketing,1,1707,3,Male,167.0,2,3,Laboratory Technician,3,Divorced,19916.0,238992.0,6,Y,Yes,35.0,4.0,3,80,4,11,6.0,3.0,6,5,1,4
23,No,Travel_Rarely,483,Support,16,2,Technical Degree,1,3750,3,Male,189.0,2,4,Sales Executive,2,Single,30254.0,30254.0,3,Y,Yes,47.0,1.0,4,80,3,36,4.0,2.0,6,4,1,4
39,No,Non-Travel,260,Research & Development,6,5,Life Sciences,1,2473,4,Female,145.0,1,4,Manager,1,Single,35929.0,1077870.0,4,Y,Yes,6.0,3.0,3,80,4,22,4.0,2.0,12,4,9,3
23,Yes,Travel_Frequently,962,Software,14,4,Marketing,1,7998,4,Female,149.0,4,1,Sales Representative,1,Married,47909.0,1437270.0,7,Y,Yes,45.0,4.0,3,80,4,8,5.0,3.0,7,3,3,1
22,Yes,Travel_Rarely,1189,Research & Development,9,5,Human Resources,1,8428,4,Female,34.0,3,5,Developer,3,Married,1431.0,20034.0,0,Y,Yes,15.0,4.0,2,80,1,28,1.0,3.0,26,25,3,15
27,Yes,Non-Travel,728,Hardware,26,4,Other,1,8662,2,Female,163.0,2,1,Research Scientist,1,Married,28379.0,312169.0,5,Y,No,3.0,1.0,4,80,3,32,5.0,4.0,20,18,10,11
35,Yes,Travel_Frequently,973,Hardware,9,4,Other,1,6631,2,Female,145.0,4,2,Sales Executive,2,Divorced,4339.0,69424.0,8,Y,Yes,45.0,3.0,2,80,1,1,2.0,2.0,1,1,1,1
45,No,Travel_Frequently,1221,Support,27,4,Other,1,786,1,Male,105.0,4,1,Developer,3,Single,13088.0,104704.0,1,Y,No,22.0,3.0,4,80,1,16,6.0,1.0,4,3,1,3
39,No,Travel_Rarely,678,Software,27,5,Technical Degree,1,2398,4,Male,150.0,3,4,Sales Representative,1,Divorced,46651.0,559812.0,6,Y,No,32.0,1.0,4,80,2,16,1.0,1.0,13,11,13,8
56,No,Travel_Rarely,275,Hardware,3,3,Life Sciences,1,333,3,Male,159.0,2,5,Research Scientist,2,Single,9170.0,247590.0,4,Y,No,11.0,3.0,1,80,2,30,6.0,2.0,11,7,1,9
54,Yes,Travel_Frequently,1085,Software,21,4,Marketing,1,9896,1,Male,167.0,3,4,Manager,3,Married,18066.0,252924.0,3,Y,Yes,10.0,1.0,1,80,1,19,4.0,3.0,19,6,1,7
43,No,Non-Travel,323,Hardware,39,1,Life Sciences,1,5101,3,Male,35.0,3,3,Human Resources,1,Married,27768.0,222144.0,8,Y,No,13.0,3.0,4,80,3,30,2.0,1.0,13,1,2,2
50,Yes,Travel_Frequently,1489,Software,22,1,Other,1,8603,4,Female,108.0,3,3,Research Scientist,3,Divorced,23501.0,611026.0,2,Y,No,29.0,3.0,4,80,2,18,5.0,2.0,9,4,7,1
46,Yes,Travel_Rarely,264,Support,30,3,Marketing,1,6410,1,Female,54.0,4,1,Laboratory Technician,3,Divorced,16020.0,368460.0,2,Y,Yes,42.0,4.0,1,80,3,23,6.0,2.0,6,2,5,6
60,No,Travel_Rarely,293,Hardware,13,4,Life Sciences,1,9495,3,Female,109.0,2,2,Manufacturing Director,1,Divorced,9961.0,239064.0,4,Y,No,31.0,1.0,3,80,2,2,6.0,1.0,2,2,2,2
26,No,Travel_Rarely,1062,Human Resources,19,2,Life Sciences,1,9264,3,Female,170.0,2,5,Sales Executive,1,Divorced,33092.0,496380.0,8,Y,Yes,17.0,3.0,3,80,1,8,2.0,1.0,8,7,2,5
54,Yes,Travel_Rarely,1401,Hardware,30,5,Other,1,2360,1,Male,69.0,4,2,Sales Representative,3,Divorced,33089.0,496335.0,3,Y,Yes,43.0,4.0,3,80,4,11,4.0,4.0,2,1,1,2
44,Yes,Travel_Frequently,562,Human Resources,37,4,Marketing,1,712,4,Male,146.0,1,4,Healthcare Representative,3,Married,37404.0,187020.0,5,Y,No,12.0,4.0,1,80,3,4,5.0,4.0,1,1,1,1
42,No,Non-Travel,104,Research & Development,9,1,Medical,1,623,1,Male,195.0,2,2,Manufacturing Director,2,Single,45173.0,1355190.0,4,Y,No,36.0,3.0,3,80,4,9,5.0,3.0,5,5,5,4
51,No,Non-Travel,672,Sales,30,4,Medical,1,4804,4,Female,138.0,1,4,Manager,3,Single,28165.0,478805.0,1,Y,Yes,20.0,4.0,4,80,3,5,1.0,4.0,1,1,1,1
50,No,Travel_Rarely,734,Support,25,4,Medical,1,7538,1,Female,171.0,3,2,Human Resources,3,Single,30256.0,574864.0,8,Y,No,35.0,1.0,2,80,4,14,4.0,1.0,9,6,3,5
57,No,Travel_Rarely,168,Software,35,1,Technical Degree,1,4301,1,Male,153.0,1,1,Research Scientist,4,Single,33165.0,994950.0,5,Y,Yes,44.0,2.0,1,80,3,37,2.0,1.0,18,11,6,17
45,No,Travel_Frequently,994,Human Resources,39,3,Marketing,1,7890,1,Male,53.0,4,4,Sales Representative,2,Married,15503.0,186036.0,8,Y,No,28.0,2.0,2,80,3,12,2.0,4.0,8,1,4,6
22,Yes,Travel_Rarely,897,Support,24,3,Medical,1,5748,3,Male,176.0,2,3,Healthcare Representative,2,Single,31998.0,927942.0,8,Y,No,45.0,3.0,3,80,1,13,4.0,2.0,8,2,1,6
53,No,Travel_Frequently,443,Support,41,1,Human Resources,1,7732,4,Female,168.0,2,2,Developer,3,Single,8061.0,112854.0,2,Y,Yes,48.0,4.0,4,80,1,14,2.0,3.0,14,11,7,11
45,Yes,Travel_Frequently,849,Human Resources,23,1,Other,1,2342,4,Female,108.0,4,4,Sales Representative,3,Single,45031.0,900620.0,8,Y,No,17.0,2.0,1,80,2,39,5.0,3.0,31,31,15,25
51,Yes,Travel_Frequently,522,Research & Development,48,3,Technical Degree,1,9152,1,Female,86.0,2,1,Manager,3,Married,18059.0,36118.0,2,Y,Yes,19.0,2.0,3,80,2,6,5.0,4.0,3,1,3,2
26,Yes,Travel_Frequently,1375,Research & Development,50,5,Other,1,6237,1,Female,170.0,1,2,Developer,1,Single,19310.0,173790.0,2,Y,Yes,24.0,4.0,2,80,3,11,6.0,1.0,7,7,2,7
30,Yes,Non-Travel,998,Research & Development,14,3,Marketing,1,1943,2,Male,140.0,4,3,Developer,4,Divorced,32641.0,293769.0,3,Y,No,36.0,1.0,4,80,2,34,2.0,3.0,14,4,14,7
36,Yes,Non-Travel,419,Sales,38,5,Human Resources,1,2431,3,Male,171.0,3,5,Laboratory Technician,4,Divorced,17622.0,458172.0,0,Y,No,22.0,3.0,4,80,4,3,1.0,3.0,3,3,2,3
51,Yes,Travel_Rarely,1077,Hardware,24,4,Technical Degree,1,787,4,Female,119.0,1,5,Human Resources,4,Single,34664.0,866600.0,1,Y,No,8.0,3.0,2,80,3,20,3.0,4.0,4,2,3,1
43,No,Travel_Frequently,1492,Software,8,1,Medical,1,3913,3,Male,48.0,2,4,Laboratory Technician,4,Married,37065.0,593040.0,1,Y,No,2.0,3.0,2,80,1,18,5.0,3.0,3,2,1,3
22,No,Non-Travel,394,Sales,44,5,Medical,1,2583,2,Female,58.0,4,5,Human Resources,1,Married,3637.0,43644.0,8,Y,No,3.0,4.0,3,80,4,24,1.0,3.0,9,6,5,3
36,Yes,Non-Travel,657,Software,12,3,Human Resources,1,8540,4,Male,174.0,4,4,Healthcare Representative,2,Divorced,14378.0,230048.0,2,Y,Yes,10.0,2.0,1,80,2,22,1.0,2.0,3,1,1,2
31,Yes,Non-Travel,1328,Hardware,22,4,Marketing,1,5055,3,Male,30.0,3,2,Manufacturing Director,3,Single,28916.0,809648.0,6,Y,Yes,43.0,3.0,3,80,3,30,5.0,4.0,13,3,11,10
55,Yes,Travel_Rarely,968,Support,8,1,Human Resources,1,8754,4,Male,82.0,3,4,Sales Executive,4,Married,3679.0,55185.0,5,Y,Yes,27.0,2.0,4,80,3,9,3.0,3.0,5,3,4,3
29,No,Non-Travel,995,Hardware,46,2,Life Sciences,1,5566,3,Female,107.0,2,2,Laboratory Technician,3,Divorced,4988.0,59856.0,1,Y,Yes,4.0,1.0,1,80,1,18,4.0,1.0,6,4,2,1
33,Yes,Travel_Frequently,178,Software,47,1,Other,1,2156,2,Male,42.0,2,3,Research Director,1,Divorced,37387.0,336483.0,4,Y,No,35.0,2.0,1,80,1,7,6.0,3.0,1,1,1,1
28,No,Travel_Rarely,1437,Human Resources,27,3,Marketing,1,6790,3,Female,42.0,3,3,Laboratory Technician,4,Married,19505.0,546140.0,7,Y,No,31.0,3.0,1,80,2,35,2.0,4.0,29,6,1,19
46,No,Travel_Rarely,272,Support,2,2,Other,1,2962,3,Male,84.0,2,2,Manufacturing Director,2,Married,3862.0,30896.0,8,Y,Yes,5.0,3.0,4,80,2,39,3.0,2.0,32,26,9,18
50,Yes,Non-Travel,366,Support,45,1,Technical Degree,1,1148,1,Male,167.0,4,1,Developer,3,Divorced,13741.0,54964.0,8,Y,Yes,16.0,1.0,2,80,4,39,6.0,4.0,28,16,4,16
30,Yes,Travel_Rarely,949,Software,43,4,Technical Degree,1,8147,2,Female,45.0,1,5,Research Scientist,2,Divorced,46931.0,187724.0,1,Y,Yes,12.0,2.0,4,80,2,2,3.0,4.0,1,1,1,1
44,Yes,Non-Travel,1155,Hardware,46,4,Medical,1,81,2,Male,147.0,3,3,Human Resources,3,Single,34395.0,34395.0,8,Y,No,24.0,3.0,3,80,3,32,1.0,1.0,19,5,15,12
43,No,Non-Travel,251,Research & Development,10,1,Medical,1,3143,3,Female,74.0,1,5,Sales Representative,2,Divorced,41431.0,1077206.0,3,Y,No,36.0,3.0,4,80,2,37,3.0,2.0,30,18,12,29
35,No,Non-Travel,604,Human Resources,34,3,Medical,1,2670,4,Male,164.0,3,1,Manager,3,Divorced,17081.0,324539.0,6,Y,No,37.0,4.0,4,80,1,3,3.0,2.0,3,1,1,1
57,Yes,Non-Travel,833,Support,4,5,Other,1,3301,2,Male,171.0,3,3,Laboratory Technician,1,Married,31109.0,528853.0,1,Y,Yes,47.0,2.0,4,80,2,16,6.0,1.0,10,2,4,9
46,No,Travel_Rarely,374,Hardware,28,5,Human Resources,1,1872,1,Female,68.0,1,3,Research Scientist,4,Divorced,31992.0,127968.0,2,Y,Yes,17.0,2.0,2,80,2,9,3.0,3.0,4,2,3,2
60,No,Non-Travel,938,Software,26,5,Technical Degree,1,7692,4,Female,159.0,3,2,Laboratory Technician,4,Married,27221.0,136105.0,1,Y,Yes,30.0,2.0,4,80,3,24,2.0,1.0,14,10,13,6
40,No,Non-Travel,1156,Support,23,1,Life Sciences,1,4376,1,Male,143.0,1,5,Research Director,4,Divorced,4575.0,54900.0,0,Y,No,10.0,2.0,3,80,4,40,3.0,2.0,21,20,9,9
50,No,Non-Travel,322,Sales,40,4,Other,1,8440,3,Male,138.0,3,3,Healthcare Representative,4,Divorced,30413.0,152065.0,7,Y,Yes,5.0,1.0,4,80,2,30,2.0,2.0,23,16,19,3
26,Yes,Non-Travel,781,Research & Development,26,3,Human Resources,1,6017,3,Male,71.0,1,1,Sales Representative,3,Married,10037.0,301110.0,5,Y,Yes,30.0,2.0,4,80,3,35,2.0,3.0,16,4,2,11
